Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
25506,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,22,0,0,0,0,0,0,0,0
26235,0,0,0,0,0,0,0,0,0,0,9,6,0,0,2,0,0,0,0,0,0,0,0,0
18217,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,0,0,1,3,5,0,0,0,0
26236,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
26237,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
25508,0,0,0,0,0,0,0,0,0,15,15,2,8,4,3,28,1,7,9,0,0,0,0,0
25509,0,0,0,0,0,0,0,0,7,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0
14656,0,0,0,0,0,0,0,0,0,1,0,0,6,2,4,1,0,0,0,0,0,0,0,0
18221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
18222,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0
25513,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26242,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25514,0,0,0,0,0,0,1,3,0,0,2,2,5,0,1,5,0,0,0,0,0,0,0,0
15390,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
18225,0,0,0,0,0,1,0,3,10,9,7,13,25,6,12,21,2,7,0,0,0,0,0,0
26244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25518,0,0,0,0,0,0,0,0,0,3,7,1,3,5,6,7,1,1,0,0,0,0,0,0
26249,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0
15397,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,26,0,0,0,0,0,0
17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17501,0,0,0,0,0,0,0,0,6,9,1,0,0,0,2,1,0,0,0,0,0,0,0,0
26250,0,0,0,0,0,0,3,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0
17503,0,0,0,0,0,0,0,3,3,1,2,6,1,1,0,2,0,0,0,0,0,0,0,0
