Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
21867,0,0,0,0,0,0,0,3,63,68,56,31,6,37,33,20,11,0,0,0,2,0,0,0
14578,6,2,0,0,16,11,13,57,78,67,67,102,122,119,128,92,88,26,4,4,1,2,0,1
17411,0,0,0,0,0,0,24,115,53,122,151,60,68,173,131,47,7,0,0,0,0,0,0,0
25431,0,0,6,0,4,1,0,1,4,11,2,11,0,0,3,3,5,3,3,0,0,0,0,0
25432,0,0,0,0,0,0,1,3,51,233,260,117,106,181,214,136,194,241,72,0,1,0,1,0
26161,46,4,9,7,2,3,0,2,66,171,194,291,216,177,258,187,219,243,174,42,63,16,55,92
25434,0,0,0,0,0,0,0,0,10,118,46,59,66,89,65,88,42,14,23,2,0,0,0,0
25435,0,0,0,0,0,0,1,95,165,112,150,73,47,152,150,166,88,26,1,8,6,2,32,2
25436,0,0,0,0,0,0,12,14,75,46,29,8,14,18,49,22,0,0,0,0,0,0,0,0
21873,0,0,66,59,24,21,50,52,56,11,39,5,0,9,2,0,24,1,0,0,0,1,0,0
25438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21875,0,0,0,0,0,0,0,0,56,225,373,402,392,186,232,438,582,555,249,37,10,0,0,0
25439,0,0,0,0,0,0,0,29,70,102,114,29,52,126,157,166,30,1,0,0,0,0,0,0
21876,0,0,2,1,74,143,152,4718,7375,9154,11708,6400,6667,13052,11237,7925,680,95,33,0,8,0,0,0
21877,8,4,6,18,30,26,63,336,531,517,405,289,342,531,450,565,218,52,15,7,34,57,24,21
21879,0,0,0,0,0,15,10,26,0,4,51,11,1,0,0,0,0,0,0,0,0,0,0,0
25440,0,0,0,0,0,0,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26170,5,1,2,0,1,0,0,0,0,1,3,7,7,0,3,12,29,10,10,1,3,0,3,22
26171,0,0,0,0,0,36,23,29,55,46,45,52,31,42,17,0,0,0,0,0,0,3,0,0
21880,0,0,0,0,0,0,0,11,4,0,3,1,2,11,1,3,0,0,0,0,0,0,0,0
29009,0,0,0,0,0,0,3,0,4,1,0,0,8,0,2,2,0,0,0,0,0,1,0,0
18155,0,0,0,0,0,0,5,11,49,7,37,11,21,28,48,16,16,4,0,0,0,0,0,0
26174,0,0,0,0,0,0,0,1,21,42,33,26,15,13,50,28,29,29,3,7,2,0,0,0
21882,0,0,0,0,0,4,19,12,15,12,17,0,20,14,27,1,0,0,0,0,0,0,0,0
26175,0,1,1,2,0,0,4,0,4,29,72,30,12,37,70,35,134,31,6,12,3,4,8,0
13864,15,6,0,1,0,42,592,532,610,586,1331,289,475,569,426,324,19,31,22,35,40,59,52,15
26176,0,0,0,0,0,0,0,230,370,646,635,121,314,664,885,1009,301,0,0,0,0,0,0,0
